Date,Day No,Daily measure,Cumulative deviation,Measure Interval,Daily Deviation,Comment,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
2024-11-13,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-14,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-15,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-16,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-17,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-19,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-20,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-21,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-22,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-23,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-24,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-25,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-26,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-27,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-28,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-29,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-30,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-01,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-02,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-03,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-04,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-05,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-07,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-08,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-09,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-10,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-11,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-12,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-13,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-14,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-15,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-16,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-17,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-18,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-19,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-20,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-21,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-22,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-23,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-24,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-25,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-26,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-27,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-28,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-29,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-30,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-03,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-04,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-05,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-06,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-07,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-08,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-09,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-10,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-11,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
